Métrica,Valor
Total en área actual,1
Identificados actual,1
Desconocidos actual,0
Total personas únicas vistas,7
Personas identificadas únicas,1
Personas desconocidas únicas,6
Pico de personas simultáneas,3
Duración sesión (seg),120
